handle,condition,week,feed_average_prop_in_network_posts
alberttommy.bsky.social,reverse_chronological,4.0,0.006
alberttommy.bsky.social,reverse_chronological,5.0,0.004
alberttommy.bsky.social,reverse_chronological,6.0,0.012
alberttommy.bsky.social,reverse_chronological,7.0,0.011
alberttommy.bsky.social,reverse_chronological,8.0,0.003
albrechtr98.bsky.social,representative_diversification,1.0,0.04
albrechtr98.bsky.social,representative_diversification,2.0,0.086
albrechtr98.bsky.social,representative_diversification,3.0,0.203
albrechtr98.bsky.social,representative_diversification,4.0,0.491
albrechtr98.bsky.social,representative_diversification,5.0,0.5
albrechtr98.bsky.social,representative_diversification,6.0,0.5
albrechtr98.bsky.social,representative_diversification,7.0,0.5
albrechtr98.bsky.social,representative_diversification,8.0,0.477
alex102.bsky.social,reverse_chronological,1.0,0.0
alex102.bsky.social,reverse_chronological,2.0,0.0
alex102.bsky.social,reverse_chronological,3.0,0.003
alex102.bsky.social,reverse_chronological,4.0,0.007
alex102.bsky.social,reverse_chronological,5.0,0.017
alex102.bsky.social,reverse_chronological,6.0,0.03
alex102.bsky.social,reverse_chronological,7.0,0.044
alex102.bsky.social,reverse_chronological,8.0,0.067
alex2017107.bsky.social,engagement,1.0,0.0
alex2017107.bsky.social,engagement,2.0,0.004
alex2017107.bsky.social,engagement,3.0,0.009
alex2017107.bsky.social,engagement,4.0,0.0
alex2017107.bsky.social,engagement,5.0,0.003
alex2017107.bsky.social,engagement,6.0,0.001
alex2017107.bsky.social,engagement,7.0,0.003
alex2017107.bsky.social,engagement,8.0,0.013
alex4606.bsky.social,engagement,1.0,0.0
alex4606.bsky.social,engagement,2.0,0.084
alex4606.bsky.social,engagement,3.0,0.349
alex4606.bsky.social,engagement,4.0,0.348
alex4606.bsky.social,engagement,5.0,0.354
alex4606.bsky.social,engagement,6.0,0.427
alex4606.bsky.social,engagement,7.0,0.361
alex4606.bsky.social,engagement,8.0,0.442
alexaken.bsky.social,reverse_chronological,1.0,0.0
alexaken.bsky.social,reverse_chronological,2.0,0.0
alexaken.bsky.social,reverse_chronological,3.0,0.006
alexaken.bsky.social,reverse_chronological,4.0,0.0
alexaken.bsky.social,reverse_chronological,5.0,0.0
alexaken.bsky.social,reverse_chronological,6.0,0.006
alexaken.bsky.social,reverse_chronological,7.0,0.003
alexaken.bsky.social,reverse_chronological,8.0,0.015
alexander7413.bsky.social,representative_diversification,1.0,0.0
alexander7413.bsky.social,representative_diversification,2.0,0.024
alexander7413.bsky.social,representative_diversification,3.0,0.087
alexander7413.bsky.social,representative_diversification,4.0,0.068
alexander7413.bsky.social,representative_diversification,5.0,0.065
alexander7413.bsky.social,representative_diversification,6.0,0.12
alexander7413.bsky.social,representative_diversification,7.0,0.056
alexander7413.bsky.social,representative_diversification,8.0,0.081
alexanderpas.bsky.social,representative_diversification,1.0,0.0
alexanderpas.bsky.social,representative_diversification,2.0,0.0
alexanderpas.bsky.social,representative_diversification,3.0,0.03
alexanderpas.bsky.social,representative_diversification,4.0,0.153
alexanderpas.bsky.social,representative_diversification,5.0,0.196
alexanderpas.bsky.social,representative_diversification,6.0,0.195
alexanderpas.bsky.social,representative_diversification,7.0,0.221
alexanderpas.bsky.social,representative_diversification,8.0,0.243
alexanderrwatson.bsky.social,representative_diversification,1.0,0.071
alexanderrwatson.bsky.social,representative_diversification,2.0,0.146
alexanderrwatson.bsky.social,representative_diversification,3.0,0.156
alexanderrwatson.bsky.social,representative_diversification,4.0,0.5
alexanderrwatson.bsky.social,representative_diversification,5.0,0.492
alexanderrwatson.bsky.social,representative_diversification,6.0,0.5
alexanderrwatson.bsky.social,representative_diversification,7.0,0.5
alexanderrwatson.bsky.social,representative_diversification,8.0,0.493
alexanderstevenson.bsky.social,reverse_chronological,1.0,0.143
alexanderstevenson.bsky.social,reverse_chronological,2.0,0.0
alexanderstevenson.bsky.social,reverse_chronological,3.0,0.081
alexanderstevenson.bsky.social,reverse_chronological,4.0,0.492
alexanderstevenson.bsky.social,reverse_chronological,5.0,0.5
alexanderstevenson.bsky.social,reverse_chronological,6.0,0.5
alexanderstevenson.bsky.social,reverse_chronological,7.0,0.5
alexanderstevenson.bsky.social,reverse_chronological,8.0,0.469
alexandertyler035.bsky.social,reverse_chronological,1.0,0.0
alexandertyler035.bsky.social,reverse_chronological,2.0,0.0
alexandertyler035.bsky.social,reverse_chronological,3.0,0.066
alexandertyler035.bsky.social,reverse_chronological,4.0,0.117
alexandertyler035.bsky.social,reverse_chronological,5.0,0.103
alexandertyler035.bsky.social,reverse_chronological,6.0,0.129
alexandertyler035.bsky.social,reverse_chronological,7.0,0.1
alexandertyler035.bsky.social,reverse_chronological,8.0,0.136
alexisbrad.bsky.social,engagement,1.0,0.0
alexisbrad.bsky.social,engagement,2.0,0.0
alexisbrad.bsky.social,engagement,3.0,0.148
alexisbrad.bsky.social,engagement,4.0,0.491
alexisbrad.bsky.social,engagement,5.0,0.497
alexisbrad.bsky.social,engagement,6.0,0.5
alexisbrad.bsky.social,engagement,7.0,0.5
alexisbrad.bsky.social,engagement,8.0,0.479
alexiwobi.bsky.social,engagement,1.0,0.016
alexiwobi.bsky.social,engagement,2.0,0.006
alexiwobi.bsky.social,engagement,3.0,0.026
alexiwobi.bsky.social,engagement,4.0,0.014
alexiwobi.bsky.social,engagement,5.0,0.022
alexiwobi.bsky.social,engagement,6.0,0.045
alexiwobi.bsky.social,engagement,7.0,0.03
alexiwobi.bsky.social,engagement,8.0,0.028
alexizjef.bsky.social,engagement,1.0,0.0
alexizjef.bsky.social,engagement,2.0,0.009
alexizjef.bsky.social,engagement,3.0,0.016
alexizjef.bsky.social,engagement,4.0,0.021
alexizjef.bsky.social,engagement,5.0,0.007
alexizjef.bsky.social,engagement,6.0,0.003
alexizjef.bsky.social,engagement,7.0,0.003
alexizjef.bsky.social,engagement,8.0,0.02
alexj56.bsky.social,engagement,1.0,0.0
alexj56.bsky.social,engagement,2.0,0.0
alexj56.bsky.social,engagement,3.0,0.0
alexj56.bsky.social,engagement,4.0,0.006
alexj56.bsky.social,engagement,5.0,0.0
alexj56.bsky.social,engagement,6.0,0.0
alexj56.bsky.social,engagement,7.0,0.007
alexj56.bsky.social,engagement,8.0,0.014
alexlog.bsky.social,representative_diversification,1.0,0.006
alexlog.bsky.social,representative_diversification,2.0,0.086
alexlog.bsky.social,representative_diversification,3.0,0.091
alexlog.bsky.social,representative_diversification,4.0,0.491
alexlog.bsky.social,representative_diversification,5.0,0.5
alexlog.bsky.social,representative_diversification,6.0,0.5
alexlog.bsky.social,representative_diversification,7.0,0.5
alexlog.bsky.social,representative_diversification,8.0,0.477
alexolivia496.bsky.social,representative_diversification,1.0,0.0
alexolivia496.bsky.social,representative_diversification,2.0,0.01
alexolivia496.bsky.social,representative_diversification,3.0,0.069
alexolivia496.bsky.social,representative_diversification,4.0,0.334
alexolivia496.bsky.social,representative_diversification,5.0,0.344
alexolivia496.bsky.social,representative_diversification,6.0,0.335
alexolivia496.bsky.social,representative_diversification,7.0,0.369
alexolivia496.bsky.social,representative_diversification,8.0,0.265
alexwebber.bsky.social,engagement,1.0,0.0
alexwebber.bsky.social,engagement,2.0,0.0
alexwebber.bsky.social,engagement,3.0,0.012
alexwebber.bsky.social,engagement,4.0,0.048
alexwebber.bsky.social,engagement,5.0,0.062
